"NUCAN";"CODE";"INSCRITS";"VOTANTS";"EXPRIMÉS";"PC";"EXG";"SOC";"RDG";"DVG";"UDF";"RPR";"DVD";"FN";"ECO";"CodeDpt";"CodeCanton";"IDCanton"
"2200000000390";7852;5407;4399;4293;0;0;2254;0;0;0;2039;0;0;0;"22";"39";"2239"
"2200000000400";7852;5282;4731;4663;0;0;2349;0;0;2314;0;0;0;0;"22";"40";"2240"
"2200000000430";7852;7829;6767;6613;0;0;3232;0;0;3381;0;0;0;0;"22";"43";"2243"
"2200000000460";7852;4048;3487;3368;1622;0;0;0;0;0;0;1746;0;0;"22";"46";"2246"
"2200000000490";7852;12375;9757;9423;0;0;5140;0;0;0;4283;0;0;0;"22";"49";"2249"
"2200000000500";7852;12060;8913;8504;3735;0;0;0;0;0;0;4769;0;0;"22";"50";"2250"
"2200000000520";7852;11353;7750;7446;0;0;3656;0;0;0;3790;0;0;0;"22";"52";"2252"
"2300000000060";7852;5503;4387;4305;0;0;1936;0;0;0;0;2369;0;0;"23";"06";"2306"
"2300000000070";7852;5678;4481;4338;0;0;2201;0;0;0;2137;0;0;0;"23";"07";"2307"
"2300000000090";7852;3709;2926;2876;1501;0;0;0;0;0;0;1375;0;0;"23";"09";"2309"
"2300000000100";7852;4032;3128;3062;0;0;1525;0;0;0;0;1537;0;0;"23";"10";"2310"
"2300000000230";7852;2084;1841;1825;0;0;956;0;0;0;0;869;0;0;"23";"23";"2323"
"2300000000260";7852;4703;3447;3284;0;0;1556;0;0;0;0;1728;0;0;"23";"26";"2326"
