"CodeCanton";"Inscrits";"Votants";"Exprimés";"PC";"EXG";"SOC";"RDG";"DVG";"UDF";"RPR";"DVD";"FN";"ECO";"CodeDpt"
"7017";3956;2916;2801;182;0;1080;0;0;0;0;1539;0;0;"70"
"7018";2828;2155;2064;54;0;622;0;0;799;0;589;0;0;"70"
"7029";9401;6715;6411;251;0;2455;0;0;3015;0;0;690;0;"70"
"7030";5725;3874;3621;417;0;1629;0;0;0;1099;0;476;0;"70"
"7031";5902;4220;4014;362;0;0;1504;0;725;0;880;543;0;"70"
"7032";6699;4935;4661;139;0;1029;1531;0;0;1461;0;501;0;"70"
"7101";8432;5609;5352;247;0;2550;0;98;0;884;1573;0;0;"71"
"7102";3583;2537;2485;116;0;1421;0;0;285;663;0;0;0;"71"
"7107";14143;8966;8673;1048;0;3075;0;0;0;1843;1966;581;160;"71"
"7111";6398;4183;4023;102;0;0;1251;0;0;0;2522;0;148;"71"
"7112";6431;4555;4441;1009;0;956;0;0;1357;0;1119;0;0;"71"
"7115";5027;3533;3372;561;0;876;0;0;1935;0;0;0;0;"71"
"7116";4566;3024;2972;238;0;1367;0;0;0;1367;0;0;0;"71"
"7117";7908;5244;5143;1685;0;583;0;0;0;0;2633;242;0;"71"
"7118";3822;2840;2772;318;0;641;0;0;1158;150;359;146;0;"71"
"7119";7562;5011;4855;344;0;1021;0;0;2984;0;0;506;0;"71"
"7121";2550;1816;1784;144;0;320;0;264;0;0;957;99;0;"71"
"7122";2426;1761;1716;96;0;292;0;0;0;0;1328;0;0;"71"
"7124";3576;2577;2502;143;0;369;409;452;0;829;130;170;0;"71"
"7125";5350;3534;3458;446;0;1029;0;0;0;0;1797;186;0;"71"
"7127";9322;5116;4930;374;0;1764;0;0;922;951;439;480;0;"71"
"7128";5095;3571;3480;224;0;0;0;883;0;1888;485;0;0;"71"
"7129";2849;1870;1766;54;378;0;0;0;0;0;1206;128;0;"71"
"7130";3419;2628;2577;99;0;1627;0;0;0;493;358;0;0;"71"
"7131";15088;8722;8522;1306;0;1978;0;0;0;4818;0;420;0;"71"
"7136";2361;1682;1646;91;0;0;977;0;578;0;0;0;0;"71"
"7138";10320;6586;6291;645;0;1598;0;0;0;0;4048;0;0;"71"
"7142";5491;3918;3830;218;0;486;894;0;0;0;2232;0;0;"71"
"7143";4994;3249;3136;232;0;958;0;0;1946;0;0;0;0;"71"
"7144";3339;2591;2545;91;0;0;1304;0;0;0;1012;138;0;"71"
"7146";4031;2845;2789;93;0;0;0;1020;1093;0;453;130;0;"71"
"7147";5686;3919;3812;317;0;1246;0;0;0;616;1197;324;112;"71"
"7153";11740;6639;6371;808;105;2260;0;0;0;2492;0;532;174;"71"
"7155";10474;5894;5758;380;0;1261;0;0;2884;0;672;561;0;"71"
"7157";14038;9028;8814;877;0;3186;0;0;0;4096;0;496;159;"71"
"7202";5810;4454;4320;230;0;1686;0;0;0;2033;371;0;0;"72"
"7206";5698;4374;4262;250;0;230;0;1172;1254;1205;0;151;0;"72"
"7208";6115;4741;4594;142;0;307;0;1739;2203;0;203;0;0;"72"
"7213";4065;3003;2911;355;0;400;0;0;0;2156;0;0;0;"72"
"7216";6487;4570;4410;394;0;1128;0;0;2636;0;0;252;0;"72"
"7217";6612;4442;4235;301;0;832;0;262;0;0;2663;177;0;"72"
"7218";8527;6121;5865;530;0;0;634;1838;0;2863;0;0;0;"72"
"7219";13941;7600;7405;590;0;1315;0;107;4528;0;0;865;0;"72"
"7222";4634;3659;3564;107;0;453;0;0;0;0;2859;145;0;"72"
"7224";12178;8609;8272;1867;0;1784;0;0;4621;0;0;0;0;"72"
"7227";14988;10582;10247;432;0;1605;0;0;0;7730;0;480;0;"72"
"7228";8300;6220;6058;208;261;574;0;577;0;1470;2968;0;0;"72"
"7229";6881;4673;4470;232;0;824;0;0;0;2552;862;0;0;"72"
"7232";4504;3333;3222;351;0;524;0;0;2347;0;0;0;0;"72"
"7234";18108;11157;10694;1076;0;3224;0;211;1646;4537;0;0;0;"72"
"7235";16624;9411;8976;4628;389;1247;0;0;2161;0;0;551;0;"72"
"7237";16033;10407;9956;1387;0;2796;0;91;0;1121;3983;578;0;"72"
"7238";13521;7891;7592;778;0;1895;0;182;4226;0;0;511;0;"72"
"7240";12446;7694;7344;3285;0;961;0;0;0;2743;0;355;0;"72"
"7303";9324;5782;5637;219;0;1120;0;0;0;1258;2293;747;0;"73"
"7305";8603;5300;5201;406;0;1450;123;0;0;2778;0;444;0;"73"
"7307";8346;4889;4749;228;0;400;0;0;0;3878;0;243;0;"73"
"7308";5818;3782;3680;153;0;1160;0;0;0;0;2367;0;0;"73"
"7309";6066;3372;3301;291;53;0;0;1200;0;0;1254;378;125;"73"
"7311";4959;3312;3266;723;0;542;0;564;0;1220;0;217;0;"73"
"7312";2827;2119;2067;273;24;777;0;0;0;0;914;79;0;"73"
"7313";3172;2304;2269;774;0;473;0;0;0;850;172;0;0;"73"
"7315";4202;2836;2759;233;0;634;0;256;0;302;1334;0;0;"73"
"7316";2023;1506;1469;36;0;0;0;509;876;0;0;48;0;"73"
"7318";7227;5160;5003;419;0;2550;0;0;0;2034;0;0;0;"73"
"7321";5165;3693;3635;1361;0;332;0;437;0;0;1280;225;0;"73"
"7326";4666;2991;2928;400;0;1190;0;0;0;0;1145;193;0;"73"
"7329";3895;2606;2472;371;0;0;0;0;0;0;1856;245;0;"73"
"7330";9817;6270;6139;1785;83;887;151;0;0;2879;0;354;0;"73"
"7331";9680;5684;5566;444;0;1972;0;0;1316;1330;0;504;0;"73"
"7332";7785;4876;4740;234;111;0;0;1479;1083;0;1304;529;0;"73"
"7333";9914;6122;5923;459;0;1223;0;0;4241;0;0;0;0;"73"
"7335";7176;4490;4383;165;0;0;0;1708;0;0;2044;466;0;"73"
"7337";6892;4799;4723;260;0;0;0;2337;1866;0;0;260;0;"73"
"7401";3083;2219;2176;59;0;0;0;0;1459;445;213;0;0;"74"
"7402";4867;3294;3164;540;0;497;0;0;1834;0;0;293;0;"74"
"7403";8577;4718;4626;178;214;0;550;0;3098;0;0;586;0;"74"
"7405";15401;8302;8166;467;0;1459;0;0;0;1587;3598;1055;0;"74"
"7410";10613;6364;6245;301;0;671;0;0;0;267;4019;987;0;"74"
"7412";9240;5173;4884;785;0;0;0;0;0;0;4099;0;0;"74"
"7414";6859;4604;4505;228;0;0;0;1906;1205;801;0;365;0;"74"
"7415";3486;2423;2369;101;0;385;0;0;0;328;1441;114;0;"74"
"7416";6935;4740;4656;222;0;409;0;1413;1270;682;381;279;0;"74"
"7417";8709;5621;5460;249;0;1064;0;0;3398;0;0;749;0;"74"
"7419";9347;5751;5627;729;0;767;0;0;946;1019;1710;456;0;"74"
"7420";4686;3266;3216;556;0;142;0;0;583;0;1458;163;314;"74"
"7421";12797;7715;7524;203;0;0;0;3501;0;2286;980;554;0;"74"
"7423";2587;1756;1653;95;0;0;0;0;1072;486;0;0;0;"74"
"7427";26340;16087;15632;907;0;3978;0;0;4377;3271;0;1875;1224;"74"
"7429";19580;10958;10646;1348;158;2544;0;0;3174;0;2353;1069;0;"74"
"7430";17802;10632;10316;388;0;2245;0;0;6428;0;0;1255;0;"74"
"7602";5140;3792;3650;111;0;638;0;0;1463;0;1231;207;0;"76"
"7603";7298;5704;5511;369;0;1306;0;0;571;3023;0;242;0;"76"
"7604";4702;3366;3260;190;0;529;0;0;1941;0;378;222;0;"76"
"7605";7797;6044;5838;578;0;2438;0;0;2541;0;0;281;0;"76"
"7609";5948;4352;4187;235;0;794;0;0;2853;0;0;305;0;"76"
"7612";8747;6557;6386;408;0;1076;0;0;4391;0;0;511;0;"76"
"7613";15780;10395;10014;1824;0;2287;0;0;3262;948;1005;688;0;"76"
"7614";13028;8810;8450;2025;179;2023;0;0;1139;2624;0;460;0;"76"
"7616";15692;11108;10554;1857;0;4269;0;0;0;3673;0;755;0;"76"
"7620";4980;4062;3947;226;57;0;1970;0;0;0;1550;144;0;"76"
"7621";19832;13591;13220;1389;0;2718;0;0;8453;0;0;660;0;"76"
"7622";3607;3021;2935;88;0;1252;0;0;0;1302;198;95;0;"76"
"7626";17298;11215;10639;2644;0;4238;0;0;2812;0;0;945;0;"76"
"7628";4068;2424;2365;259;0;418;0;0;144;575;696;273;0;"76"
"7630";17060;9880;9463;3052;99;2177;0;0;842;1538;819;936;0;"76"
"7631";10249;5822;5657;680;0;1175;0;0;0;3121;0;681;0;"76"
"7633";17797;12037;11696;782;0;5399;0;0;0;0;4891;624;0;"76"
"7634";3842;3015;2937;88;0;0;0;1139;1610;0;0;100;0;"76"
"7635";4896;3782;3618;337;0;724;0;0;2343;0;0;214;0;"76"
"7636";16721;9881;9470;3406;0;2279;0;0;0;3315;0;470;0;"76"
"7638";8223;5779;5443;581;0;1209;0;0;3142;0;0;511;0;"76"
"7640";2971;2301;2217;145;0;0;260;0;1651;0;0;161;0;"76"
"7641";18473;13436;12932;1011;0;5850;0;0;0;5489;0;582;0;"76"
